Word,Frequency
dopieszczał,1
tygodniami,1
wyszedł,1
należy,4
restaurator,1
powołania,1
zamiłowania,1
nigdy,1
traci,1
opanowania,1
nawet,13
obliczu,1
sporych,1
wyzwań,2
realizował,1
mile,1
wspomina,1
czasy,1
kiedy,3
odpowiadał,1
kulinarne,4
oblicze,1
baltic,1
herring,2
meeting,1
dzisiaj,1
szczecin,1
twarogowa,2
jajem,2
idealne,1
rozwiązanie,1
mamy,3
żadnej,1
sałatki,6
porządna,1
warstwa,1
kromce,1
ulubionego,1
pieczywa,1
spokojnie,1
przeglądnąć,1
książkę,1
śledziowego,1
obiad,2
zapas,3
sałatkę,2
powinna,5
bryndzy,1
duży,1
pikling,2
łyżka,19
posiekanego,2
szczypiorku,3
posypania,1
gotowej,1
oczyszczonego,1
piklinga,2
maszynce,2
mięsa,5
podawać,10
posypaną,1
siekanym,1
szczypiorkiem,2
postało,1
porządne,1
trzeba,9
stosować,1
proporcje,2
słony,1
filet,9
kostki,1
blendera,2
wstępnie,1
pokrojonego,1
nieodmoczonego,1
niech,2
nieco,3
zblenduje,1
dodawać,1
małych,2
kawałkach,1
gdyby,1
ciepłe,1
powstanie,1
czyste,1
doprawić,19
kaparami,2
zielonym,1
pieprzem,21
ostrymi,1
papryczkami,1
świetnie,1
przechowuje,1
jajka,7
solonych,2
śledziowych,2
mała,3
pokrojona,1
łyżki,26
majonezu,7
musztardy,1
odmoczyć,4
twardo,4
szczypiorek,3
cebulkę,2
gotowane,1
majonez,3
musztardą,1
przyprawami,1
lodówki,4
duże,6
ugotowane,5
półtwardo,1
dymki,1
obrane,1
zblendować,2
jajami,1
dymkę,1
ziarnami,2
kupicie,1
wyjątkowo,1
ładną,2
parzoną,1
szynkę,1
odkrójcie,1
proszę,1
tłuszczyk,1
zróbcie,1
unikatowy,1
lepiej,3
odmaczać,1
delikatnie,5
wniosą,2
smalczyku,1
odpowiednią,1
słoność,2
według,1
własnego,1
uznania,1
dużo,2
słoninę,1
utrzeć,1
posiekaną,5
cebulą,6
ktoś,1
majerankiem,2
smarowidła6,2
odsączona,1
puszka,2
tahini,1
ziaren,3
sezamu,3
soku,6
cytryny,10
oliwy,11
kuminu,1
zmielony,8
obranego,1
wyczyszczonego,1
ości,9
resztą,1
składników,3
gładką,2
masę,7
solą,23
cebuli,10
ocet,4
odmoczone,1
jaja,2
skroić,2
drobną,2
składniki,5
zmieszać,2
ostrożnie,2
odrobiną,2
octu,5
cukru,7
gęsiej,1
piersi,1
skóry,7
solone,3
filety,15
jabłka,2
przepiórczych,1
oliwa,1
cytryna,1
balsamiczny,1
suszony,1
gęsiny,1
posolić,2
odłożyć,1
godzinę,1
balsamicznego,1
suszonego,1
majeranku,2
szczypty,1
zrobić,4
marynatę,1
gęsinę,2
zanurzyć,2
skropić,2
sokiem,4
osączeniu,1
zemleć,1
posiekane,2
formować,2
klasyczne,1
tatary,1
małe,3
zagłębienie,1
włożyć,3
przepiórcze,1
żółtko,1
udekorować,3
cząstką,1
chudego,1
konserwowy,2
ogórek,5
małej,3
rzodkiewki,2
grubo,1
dość,1
kosteczkę,2
rozgnieść,1
widelcem,2
pozostałe,1
norweskie,2
białe,4
noce,2
czerwcu,1
norwegii,1
słońce,2
ogóle,1
zachodzi,2
spać,1
chętnie,2
sięga,1
czerwonym,2
akcentem,2
przypominającym,1
zawieszone,1
horyzontem,1
choćby,2
łatwiej,2
odszukać,1
stole,1
kanapka,10
sałatką,4
jeść,2
pieczywem,1
pieczywo,1
ustanowili,1
cieszą,1
taką,2
kanapką,1
wersji,2
street,2
food,2
podrasować,1
boczku,4
wziąć,2
rękę,2
posilać,1
spacerując,1
submarine,2
bismarckami,2
dobrodziejstwo,1
wynalezienia,1
bismarcków,1
przecenienia,1
błyskawicznej,1
naciąć,1
wzdłuż,4
bismarcki,3
domknąć,3
wypadły,1
posmarować,12
rolmopsy,1
tylko,10
uważać,1
ochlapać,1
fińska,2
łaziebna,2
finowie,1
zaraz,2
saunie,1
potrzebują,1
uzupełnić,1
organizmie,1
sole,1
mineralne,1
doskonałym,1
kompletnym,1
rozwiązaniem,2
zrelaksowani,1
potrafią,2
robić,1
kunsztowne,1
dozą,1
wyobraźni,1
używają,1
szczecińskie,2
klimaty,2
autorzy,2
pochodzą,1
szczecina,1
odżegnują,1
słynnej,1
owskiej,1
puszki,3
zwykłą,1
paprykarzem,1
postanowili,1
wzmocnić,1
śledziowym,1
wraca,1
łask,1
odkąd,1
wszedł,1
kart,1
sporej,1
ilości,4
restauracji,4
robi,1
niego,1
moda,1
halina,2
druskiennikach,2
litewskich,1
barach,1
ciesząca,1
niesłabnącym,1
powodzeniem,1
litwini,1
docenić,2
sąsiedztwo,1
bogactwa,1
pełną,1
garścią,1
dokładając,1
element,1
